ItalyMeteoControl,Milano,3,2,3,4,2,3,4,2023-05-27,21:48
ItalyMeteoControl,Varese,2,3,4,2,1,3,4,2023-05-27,21:48
ItalyMeteoControl,Misano,2,3,4,2,1,3,4,2023-05-27,21:48
ItalyMeteoControl,Misano,2,3,4,2,3,3,4,2023-05-27,22:18
ItalyMeteoControl,Misano,2,3,3,2,1,3,4,2023-05-27,23:38
ItalyMeteoControl,Misano,2,3,3,2,1,3,4,2023-05-27,23:38
ItalyMeteoControl,Misano,2,3,3,2,1,3,4,2023-05-27,23:38
ItalyMeteoControl,Misano,2,3,3,2,1,3,4,2023-05-27,23:38
ItalyMeteoControl,Misano,2,3,3,2,1,3,4,2023-05-27,23:38
ItalyMeteoControl,Misano,1,1,1,5,1,1,1,2023-05-28,10:34
USAWeatherReport,New York,2,3,4,1,2,1,1,2023-05-28,11:45
CentroMeteoNord,Roma,3,4,2,2,1,4,3,2023-05-30,15:34
CentroSvizzera,Roma,3,2,4,2,2,3,4,2023-05-30,15:36
